year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,AL GORE,DEMOCRAT,4942,17208,20220315,TOTAL
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11993,17208,20220315,TOTAL
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,RALPH NADER,GREEN,160,17208,20220315,TOTAL
2000,ALABAMA,AL,AUTAUGA,1001.0,US PRESIDENT,OTHER,OTHER,113,17208,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,AL GORE,DEMOCRAT,13997,56480,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,40872,56480,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,RALPH NADER,GREEN,1033,56480,20220315,TOTAL
2000,ALABAMA,AL,BALDWIN,1003.0,US PRESIDENT,OTHER,OTHER,578,56480,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,AL GORE,DEMOCRAT,5188,10395,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5096,10395,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,RALPH NADER,GREEN,46,10395,20220315,TOTAL
2000,ALABAMA,AL,BARBOUR,1005.0,US PRESIDENT,OTHER,OTHER,65,10395,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,AL GORE,DEMOCRAT,2710,7101,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4273,7101,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,RALPH NADER,GREEN,52,7101,20220315,TOTAL
2000,ALABAMA,AL,BIBB,1007.0,US PRESIDENT,OTHER,OTHER,66,7101,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,AL GORE,DEMOCRAT,4977,17973,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12667,17973,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,RALPH NADER,GREEN,154,17973,20220315,TOTAL
2000,ALABAMA,AL,BLOUNT,1009.0,US PRESIDENT,OTHER,OTHER,175,17973,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,AL GORE,DEMOCRAT,3395,4904,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1433,4904,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,RALPH NADER,GREEN,24,4904,20220315,TOTAL
2000,ALABAMA,AL,BULLOCK,1011.0,US PRESIDENT,OTHER,OTHER,52,4904,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,AL GORE,DEMOCRAT,3606,7803,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4127,7803,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,RALPH NADER,GREEN,36,7803,20220315,TOTAL
2000,ALABAMA,AL,BUTLER,1013.0,US PRESIDENT,OTHER,OTHER,34,7803,20220315,TOTAL
2000,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,AL GORE,DEMOCRAT,15781,38909,20220315,TOTAL
2000,ALABAMA,AL,CALHOUN,1015.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22306,38909,20220315,TOTAL
